Row #	X	Y	XY-up	XY-down
370	0.7883289	0.9265657	1.216524	1.21657
371	0.7883996	0.9265657	1.21657	1.216616
372	0.7884703	0.9265657	1.216616	1.216661
373	0.7885411	0.9265657	1.216661	1.216707
374	0.7886118	0.9265657	1.216707	1.216753
375	0.7886825	0.9265657	1.216753	1.216799
376	0.7887531	0.9265657	1.216799	1.216845
377	0.7888238	0.9265657	1.216845	1.21689
378	0.7888944	0.9265657	1.21689	1.216936
379	0.788965	0.9265657	1.216936	1.216982
380	0.7890356	0.9265657	1.216982	1.217028
381	0.7891062	0.9265657	1.217028	1.217074
382	0.7891768	0.9265657	1.217074	1.217119
383	0.7892473	0.9265657	1.217119	1.217165
384	0.7893178	0.9265657	1.217165	1.217211
385	0.7893883	0.9265657	1.217211	1.217257
386	0.7894588	0.9265657	1.217257	1.217302
387	0.7895293	0.9265657	1.217302	1.217348
388	0.7895998	0.9265657	1.217348	1.217394
389	0.7896702	0.9265657	1.217394	1.217439
390	0.7897406	0.9265657	1.217439	1.217485
391	0.7898111	0.9265657	1.217485	1.217531
392	0.7898815	0.9265657	1.217531	1.217576
393	0.7899518	0.9265657	1.217576	1.217622
394	0.7900223	0.9265657	1.217622	1.217668
395	0.7900926	0.9265657	1.217668	1.217713
396	0.7901629	0.9265657	1.217713	1.217759
397	0.7902332	0.9265657	1.217759	1.217805
398	0.7903035	0.9265657	1.217805	1.21785
399	0.7903738	0.9265657	1.21785	1.217896
400	0.7904441	0.9265657	1.217896	1.217941
401	0.7905143	0.9265657	1.217941	1.217987
402	0.7905846	0.9265657	1.217987	1.218033
403	0.7906548	0.9265657	1.218033	1.218078
404	0.7907249	0.9265657	1.218078	1.218124
405	0.7907951	0.9265657	1.218124	1.218169
406	0.7908652	0.9265657	1.218169	1.218215
407	0.7909355	0.9265657	1.218215	1.21826
408	0.7910056	0.9265657	1.21826	1.218306
409	0.7910757	0.9265657	1.218306	1.218351
410	0.7911458	0.9265657	1.218351	1.218397
411	0.7912159	0.9265657	1.218397	1.218442
412	0.7912859	0.9265657	1.218442	1.218488
413	0.791356	0.9265657	1.218488	1.218533
414	0.791426	0.9265657	1.218533	1.218579
415	0.791496	0.9265657	1.218579	1.218624
416	0.791566	0.9265657	1.218624	1.21867
417	0.791636	0.9265657	1.21867	1.218715
418	0.791706	0.9265657	1.218715	1.218761
419	0.7917759	0.9265657	1.218761	1.218806
420	0.7918458	0.9265657	1.218806	1.218852
421	0.7919157	0.9265657	1.218852	1.218897
422	0.7919856	0.9265657	1.218897	1.218942
423	0.7920555	0.9265657	1.218942	1.218988
424	0.7921254	0.9265657	1.218988	1.219033
425	0.7921952	0.9265657	1.219033	1.219079
426	0.7922651	0.9265657	1.219079	1.219124
427	0.7923349	0.9265657	1.219124	1.219169
428	0.7924047	0.9265657	1.219169	1.219215
429	0.7924744	0.9265657	1.219215	1.21926
430	0.7925442	0.9265657	1.21926	1.219305
431	0.7926139	0.9265657	1.219305	1.219351
432	0.7926837	0.9265657	1.219351	1.219396
433	0.7927533	0.9265657	1.219396	1.219441
434	0.7928231	0.9265657	1.219441	1.219487
435	0.7928928	0.9265657	1.219487	1.219532
436	0.7929624	0.9265657	1.219532	1.219577
437	0.7930321	0.9265657	1.219577	1.219622
438	0.7931017	0.9265657	1.219622	1.219668
439	0.7931713	0.9265657	1.219668	1.219713
440	0.7932409	0.9265657	1.219713	1.219758
441	0.7933105	0.9265657	1.219758	1.219804
442	0.79338	0.9265657	1.219804	1.219849
443	0.7934496	0.9265657	1.219849	1.219894
444	0.7935191	0.9265657	1.219894	1.219939
445	0.7935886	0.9265657	1.219939	1.219984
446	0.7936581	0.9265657	1.219984	1.22003
447	0.7937276	0.9265657	1.22003	1.220075
448	0.793797	0.9265657	1.220075	1.22012
449	0.7938665	0.9265657	1.22012	1.220165
450	0.7939359	0.9265657	1.220165	1.22021
451	0.7940053	0.9265657	1.22021	1.220255
452	0.7940747	0.9265657	1.220255	1.220301
453	0.794144	0.9265657	1.220301	1.220346
454	0.7942135	0.9265657	1.220346	1.220391
455	0.7942828	0.9265657	1.220391	1.220436
456	0.7943521	0.9265657	1.220436	1.220481
457	0.7944214	0.9265657	1.220481	1.220526
458	0.7944908	0.9265657	1.220526	1.220571
459	0.79456	0.9265657	1.220571	1.220616
460	0.7946292	0.9265657	1.220616	1.220662
461	0.7946985	0.9265657	1.220662	1.220707
462	0.7947677	0.9265657	1.220707	1.220752
463	0.7948369	0.9265657	1.220752	1.220797
464	0.7949061	0.9265657	1.220797	1.220842
465	0.7949752	0.9265657	1.220842	1.220887
466	0.7950444	0.9265657	1.220887	1.220932
467	0.7951136	0.9265657	1.220932	1.220977
468	0.7951827	0.9265657	1.220977	1.221022
469	0.7952518	0.9265657	1.221022	1.221067
470	0.7953209	0.9265657	1.221067	1.221112
471	0.79539	0.9265657	1.221112	1.221157
472	0.795459	0.9265657	1.221157	1.221202
473	0.7955281	0.9265657	1.221202	1.221247
474	0.7955971	0.9265657	1.221247	1.221292
475	0.7956661	0.9265657	1.221292	1.221337
476	0.7957351	0.9265657	1.221337	1.221382
477	0.795804	0.9265657	1.221382	1.221427
478	0.795873	0.9265657	1.221427	1.221471
479	0.7959419	0.9265657	1.221471	1.221516
480	0.7960109	0.9265657	1.221516	1.221561
481	0.7960798	0.9265657	1.221561	1.221606
482	0.7961487	0.9265657	1.221606	1.221651
483	0.7962175	0.9265657	1.221651	1.221696
484	0.7962864	0.9265657	1.221696	1.221741
485	0.7963552	0.9265657	1.221741	1.221786
486	0.796424	0.9265657	1.221786	1.221831
487	0.7964929	0.9265657	1.221831	1.221875
488	0.7965617	0.9265657	1.221875	1.22192
489	0.7966304	0.9265657	1.22192	1.221965
490	0.7966992	0.9265657	1.221965	1.22201
491	0.7967679	0.9265657	1.22201	1.222055
492	0.7968366	0.9265657	1.222055	1.2221
493	0.7969053	0.9265657	1.2221	1.222144
494	0.7969739	0.9265657	1.222144	1.222189
495	0.7970427	0.9265657	1.222189	1.222234
496	0.7971113	0.9265657	1.222234	1.222279
497	0.79718	0.9265657	1.222279	1.222323
498	0.7972485	0.9265657	1.222323	1.222368
499	0.7973172	0.9265657	1.222368	1.222413
500	0.7973858	0.9265657	1.222413	1.222458
501	0.7974543	0.9265657	1.222458	1.222502
502	0.7975229	0.9265657	1.222502	1.222547
503	0.7975914	0.9265657	1.222547	1.222592
504	0.7976599	0.9265657	1.222592	1.222636
505	0.7977284	0.9265657	1.222636	1.222681
506	0.7977969	0.9265657	1.222681	1.222726
507	0.7978654	0.9265657	1.222726	1.22277
508	0.7979338	0.9265657	1.22277	1.222815
509	0.7980022	0.9265657	1.222815	1.22286
510	0.7980707	0.9265657	1.22286	1.222904
511	0.7981391	0.9265657	1.222904	1.222949
512	0.7982075	0.9265657	1.222949	1.222994
513	0.7982758	0.9265657	1.222994	1.223038
514	0.7983442	0.9265657	1.223038	1.223083
515	0.7984125	0.9265657	1.223083	1.223127
516	0.7984808	0.9265657	1.223127	1.223172
517	0.7985491	0.9265657	1.223172	1.223217
518	0.7986174	0.9265657	1.223217	1.223261
519	0.7986857	0.9265657	1.223261	1.223306
520	0.7987539	0.9265657	1.223306	1.22335
521	0.7988222	0.9265657	1.22335	1.223395
522	0.7988904	0.9265657	1.223395	1.223439
523	0.7989585	0.9265657	1.223439	1.223484
524	0.7990267	0.9265657	1.223484	1.223529
525	0.7990949	0.9265657	1.223529	1.223573
526	0.799163	0.9265657	1.223573	1.223618
527	0.7992312	0.9265657	1.223618	1.223662
528	0.7992993	0.9265657	1.223662	1.223706
529	0.7993674	0.9265657	1.223706	1.223751
530	0.7994354	0.9265657	1.223751	1.223796
531	0.7995035	0.9265657	1.223796	1.22384
532	0.7995716	0.9265657	1.22384	1.223884
533	0.7996396	0.9265657	1.223884	1.223929
534	0.7997076	0.9265657	1.223929	1.223973
535	0.7997756	0.9265657	1.223973	1.224018
536	0.7998435	0.9265657	1.224018	1.224062
537	0.7999115	0.9265657	1.224062	1.224107
538	0.7999794	0.9265657	1.224107	1.224151
539	0.8000474	0.9265657	1.224151	1.224195
540	0.8001153	0.9265657	1.224195	1.22424
541	0.8001832	0.9265657	1.22424	1.224284
542	0.8002511	0.9265657	1.224284	1.224328
543	0.8003189	0.9265657	1.224328	1.224373
544	0.8003868	0.9265657	1.224373	1.224417
545	0.8004546	0.9265657	1.224417	1.224461
546	0.8005224	0.9265657	1.224461	1.224506
547	0.8005902	0.9265657	1.224506	1.22455
548	0.8006579	0.9265657	1.22455	1.224594
549	0.8007257	0.9265657	1.224594	1.224639
550	0.8007935	0.9265657	1.224639	1.224683
551	0.8008612	0.9265657	1.224683	1.224727
552	0.8009289	0.9265657	1.224727	1.224771
553	0.8009965	0.9265657	1.224771	1.224816
554	0.8010643	0.9265657	1.224816	1.22486
555	0.8011318	0.9265657	1.22486	1.224904
556	0.8011996	0.9265657	1.224904	1.224948
557	0.8012671	0.9265657	1.224948	1.224993
558	0.8013347	0.9265657	1.224993	1.225037
559	0.8014024	0.9265657	1.225037	1.225081
560	0.8014699	0.9265657	1.225081	1.225125
561	0.8015375	0.9265657	1.225125	1.22517
562	0.801605	0.9265657	1.22517	1.225214
563	0.8016725	0.9265657	1.225214	1.225258
564	0.8017401	0.9265657	1.225258	1.225302
565	0.8018075	0.9265657	1.225302	1.225346
566	0.801875	0.9265657	1.225346	1.22539
567	0.8019424	0.9265657	1.22539	1.225435
568	0.8020099	0.9265657	1.225435	1.225479
569	0.8020773	0.9265657	1.225479	1.225523
570	0.8021447	0.9265657	1.225523	1.225567
571	0.8022121	0.9265657	1.225567	1.225611
572	0.8022794	0.9265657	1.225611	1.225655
573	0.8023468	0.9265657	1.225655	1.225699
574	0.8024141	0.9265657	1.225699	1.225743
575	0.8024814	0.9265657	1.225743	1.225787
576	0.8025487	0.9265657	1.225787	1.225831
577	0.802616	0.9265657	1.225831	1.225875
578	0.8026832	0.9265657	1.225875	1.225919
579	0.8027505	0.9265657	1.225919	1.225963
580	0.8028178	0.9265657	1.225963	1.226007
581	0.8028849	0.9265657	1.226007	1.226051
582	0.8029522	0.9265657	1.226051	1.226095
